WORLD,NAME,AGE GROUP,GENDER,SPECIES,PLAYABLE SIM,STATUS,PET_ID,SIM_ID,TRAITS
Brindleton Bay,Opal,Adult,Female,Cat,Yes,Not Started,PET0002,SIM00001,
Brindleton Bay,Buddy,Elder,Male,Dog ,Yes,Not Started,PET0003,SIM00001,
Brindleton Bay,Mabel,Baby,Female,Dog ,Yes,Not Started,PET0004,SIM00001,
Brindleton Bay,Iggy Pop,Adult,Male,Iguana,Yes,Not Started,PET0005,SIM00001,
Brindleton Bay,Zorro,Adult,Female,Toucan,Yes,Not Started,PET0006,SIM00001,
Brindleton Bay,Slinky,Adult,Male,Cat,No,Not Started,PET0007,SIM00004,
Brindleton Bay,Leo,Adult,Male,Cat,No,Not Started,PET0008,SIM00004,
Brindleton Bay,Milo,Baby,Male,Cat,No,Not Started,PET0009,SIM00004,
Brindleton Bay,Cleo,Baby,Female,Cat,No,Not Started,PET0010,SIM00004,
Brindleton Bay,Mittens McFluff,Elder,Female,Cat,No,Not Started,PET0011,SIM00004,
Brindleton Bay,Alohomora,Adult,Male,Tortoise,No,Not Started,PET0012,SIM00005,
Brindleton Bay,Pocket Rocket,Adult,Male,Lovebird,No,Not Started,PET0013,SIM00005,
Brindleton Bay,Shimmer,Adult,Female,Chameleon,No,Not Started,PET0014,SIM00009,
Brindleton Bay,Max,Baby,Male,Dog ,No,Not Started,PET0015,SIM00010,
Brindleton Bay,Oscar,Adult,Male,Cat,No,Not Started,PET0016,SIM00010,
Brindleton Bay,Mango,Adult,Male,Lovebird,No,Not Started,PET0017,SIM00010,
Brindleton Bay,Papaya,Adult,Female,Lovebird,No,Not Started,PET0018,SIM00010,
Brindleton Bay,Cape Crusader,Adult,Female,Sigar Glider,No,Not Started,PET0019,SIM00010,
Brindleton Bay,Phoebe,Elder,Female,Cat,No,Not Started,PET0020,SIM00030,
Chestnut Ridge,Rosette,Baby,Female,Horse,No,Not Started,PET0021,SIM00035,
Chestnut Ridge,Juniper,Adult,Female,Horse,No,Not Started,PET0022,SIM00035,
Chestnut Ridge,Jean Jacket,Adult,Male,Horse,No,Not Started,PET0023,SIM00035,
Chestnut Ridge,Blaze,Elder,Male,Horse,No,Not Started,PET0024,SIM00040,
